ene-20;6,3;31,5;-0,9;7;2020
feb-20;7,3;5,6;10,5;7,3;2020
mar-20;-36,6;-68,6;0,5;-37,1;2020
abr-20;-71,2;-75,4;-33,9;-70,7;2020
may-20;-65,7;-77;-13,5;-65,3;2020
jun-20;-59,4;-41,6;-37,8;-58,5;2020
jul-20;-56,8;-31,3;-31,9;-55,4;2020
ago-20;-54,8;-9,8;-45,3;-53;2020
sep-20;-46,8;-34,1;-14,1;-45,7;2020
oct-20;-36,8;-8,6;-61,1;-36,2;2020
nov-20;-28,8;-6,1;-76,7;-28,9;2020
dic-20;-32;13,6;-68;-30,6;2020
ene-21;-43,4;-52,7;-79,6;-44,4;2021
feb-21;-31,5;-3,7;-72,7;-31,2;2021
mar-21;22,1;252,7;-70,9;23,7;2021
abr-21;114,5;280,8;-54,1;112,6;2021
may-21;105,2;198,2;-54,1;101,1;2021
jun-21;91,1;73,4;-45,8;86,7;2021
jul-21;98,5;37;-52,3;91,1;2021
ago-21;88,5;38,8;-27,9;82,6;2021
sep-21;71,7;74,8;-47,3;68,3;2021
oct-21;52,3;-5,1;-36,6;48,2;2021
nov-21;39,2;27,8;98,2;39,1;2021
dic-21;49,1;2,3;31;45,3;2021
ene-22;64,6;99,3;75,5;65,9;2022
feb-22;37,4;17,5;48;36,5;2022
mar-22;32,7;18,2;7,9;31,8;2022
abr-22;77,3;43;32,2;75,1;2022
may-22;54,5;74,6;29,4;55;2022
jun-22;36,8;35,4;10,2;36,5;2022
jul-22;30,9;39,1;46,4;31,3;2022
ago-22;26,7;27,3;20,2;26,7;2022
sep-22;26,3;27;1,2;26,1;2022
oct-22;21,8;41,7;80,8;22,8;2022
nov-22;17,2;15,6;45,3;17,4;2022
dic-22;14,9;42;68;16,9;2022
;;;;;
;;;;;
